folder,chapter num,chapter name,reciter id
Abdul-Baset-Abdul-Samad,1,Al-Fatiha | The Opener,0
Abdul-Baset-Abdul-Samad,2,Al-Baqarah | The Cow,0
Abdul-Baset-Abdul-Samad,3,Ali 'Imran | Family of 'Imran,0
Abdul-Baset-Abdul-Samad,4,An-Nisa | The Women,0
Abdul-Baset-Abdul-Samad,5,Al-Ma'idah | The Table Spread,0
Abdul-Baset-Abdul-Samad,6,Al-An'am | The Cattle,0
Abdul-Baset-Abdul-Samad,7,Al-A'raf | The Heights,0
Abdul-Baset-Abdul-Samad,8,Al-Anfal | The Spoils of War,0
Abdul-Baset-Abdul-Samad,9,At-Tawbah | The Repentance,0
Abdul-Baset-Abdul-Samad,10,Yunus | Jonah,0
Abdul-Baset-Abdul-Samad,11,Hud | Hud,0
Abdul-Baset-Abdul-Samad,12,Yusuf | Joseph,0
Abdul-Baset-Abdul-Samad,13,Ar-Ra'd | The Thunder,0
Abdul-Baset-Abdul-Samad,14,Ibrahim | Abraham,0
Abdul-Baset-Abdul-Samad,15,Al-Hijr | The Rocky Tract,0
Abdul-Baset-Abdul-Samad,16,An-Nahl | The Bee,0
Abdul-Baset-Abdul-Samad,17,Al-Isra | The Night Journey,0
Abdul-Baset-Abdul-Samad,18,Al-Kahf | The Cave,0
Abdul-Baset-Abdul-Samad,19,Maryam | Mary,0
Abdul-Baset-Abdul-Samad,20,Ta Ha | The letters Ta and Ha,0
Abdul-Baset-Abdul-Samad,21,Al-Anbya | The Prophets,0
Abdul-Baset-Abdul-Samad,22,Al-Hajj | The Pilgrimage,0
Abdul-Baset-Abdul-Samad,23,Al-Mu'minun | The Believers,0
Abdul-Baset-Abdul-Samad,24,An-Nur | The Light,0
Abdul-Baset-Abdul-Samad,25,Al Furqan | The Criterion,0
Abdul-Baset-Abdul-Samad,26,Ash-Shu'ara | The Poets,0
Abdul-Baset-Abdul-Samad,27,An-Naml | The Ant,0
Abdul-Baset-Abdul-Samad,28,Al-Qasas | The Stories,0
Abdul-Baset-Abdul-Samad,29,Al-'Ankabut | The Spider,0
Abdul-Baset-Abdul-Samad,30,Ar-Rum | The Romans,0
Abdul-Baset-Abdul-Samad,31,Luqman | Luqman,0
Abdul-Baset-Abdul-Samad,32,As-Sajdah | The Prostration,0
Abdul-Baset-Abdul-Samad,33,Al-Ahzab| The Combined Forces,0
Abdul-Baset-Abdul-Samad,34,Saba | Sheba,0
Abdul-Baset-Abdul-Samad,35,Fatir | Originator,0
Abdul-Baset-Abdul-Samad,36,Ya Sin | The letters Ya and Sin,0
Abdul-Baset-Abdul-Samad,37,As-Saffat | Those who set the Ranks,0
Abdul-Baset-Abdul-Samad,38,Sad | The letter Sad,0
Abdul-Baset-Abdul-Samad,39,Az-Zumar | The Troops,0
Abdul-Baset-Abdul-Samad,40,Ghafir | The Forgiver,0
Abdul-Baset-Abdul-Samad,41,Fussilat | Explained in Detail,0
Abdul-Baset-Abdul-Samad,42,Ash-Shuraa | The Consultation,0
Abdul-Baset-Abdul-Samad,43,Az-Zukhruf | The Ornaments of Gold,0
Abdul-Baset-Abdul-Samad,44,Ad-Dukhan | The Smoke,0
Abdul-Baset-Abdul-Samad,45,Al-Jathiyah | The Crouching,0
Abdul-Baset-Abdul-Samad,46,Al-Ahqaf | The Wind-Curved Sandhills,0
Abdul-Baset-Abdul-Samad,47,Muhammad,0
Abdul-Baset-Abdul-Samad,48,Al-Fath | The Victory,0
Abdul-Baset-Abdul-Samad,49,Al-Hujurat | The Rooms,0
Abdul-Baset-Abdul-Samad,50,Qaf | The letter Qaf,0
Abdul-Baset-Abdul-Samad,51,Adh-Dhariyat | The Winnowing Winds,0
Abdul-Baset-Abdul-Samad,52,At-Tur | The Mountain,0
Abdul-Baset-Abdul-Samad,53,An-Najm | The Star,0
Abdul-Baset-Abdul-Samad,54,Al-Qamar | The Moon,0
Abdul-Baset-Abdul-Samad,55,Ar-Rahman | The Beneficent,0
Abdul-Baset-Abdul-Samad,56,Al-Waqi'ah | The Inevitable,0
Abdul-Baset-Abdul-Samad,57,Al-Hadid | The Iron,0
Abdul-Baset-Abdul-Samad,58,Al-Mujadila | The Pleading Woman,0
Abdul-Baset-Abdul-Samad,59,Al-Hashr | The Exile,0
